ip,gender,age,square,circle,triangle,star,heart,past,present,future
71.233.133.194,Male,18-24,#eb7ef1,#9e1a30,#2fe12d,#fff92e,#f368b9,#ecddbb,#e1e2e5,#3d43ff
98.217.2.222,Male,18-24,#825d17,#b3b3b3,#000000,#ede826,#ba0903,#d6ae00,none,#1a4fd1
66.30.199.107,Female,18-24,none,none,none,#e3c42b,#dd4646,none,none,none
47.14.13.133,Male,18-24,#f40b0b,#070ec0,#1ab300,#fff329,#f50000,#ff9b1a,#f73222,#a8fcff
68.186.250.225,Male,45-54,none,none,none,none,none,none,none,none
76.19.123.235,Female,18-24,#1481eb,#edcd3b,#3a785d,#faef00,#f81b1b,#916427,none,#502386
98.110.243.31,Female,18-24,#de1725,#b06a21,#eedd44,#f5fb74,#f70830,#3015b2,none,#32730d
73.61.53.28,Female,18-24,#000000,#fd1c1c,#3eb655,#fbfc2c,#fa1431,#0a0a0b,none,#e4a907
67.246.18.224,Female,18-24,none,none,none,#f6f037,#b20607,#000000,#0d9fde,#deded9
76.19.123.235,Female,55-64,#ea0b06,#2a4cf8,#04af0a,#fbfc40,#f88c8c,none,none,none
24.61.130.91,Male,18-24,#2ac687,#dbfc55,#d43716,#d9d30d,#f184be,#1a1414,#efecec,#612e9e
24.2.250.114,Male,18-24,#da0b27,#2753ec,#f1ec37,#e0b024,#eb1e1e,#cbc8c8,#f7b6ec,#78f2e3
71.89.5.183,Nonbinary,18-24,#f14646,#81f339,#ffe12e,#faf5f5,#f7457f,#a1e1e8,#5c7755,#7443a3
71.232.73.68,Female,18-24,#155fcb,#f1ef46,#e71818,#8346c8,#db1414,none,none,none
71.232.73.68,Male,18-24,#36bff2,#eefc31,#43c837,#6219d7,#f12727,none,none,#fa94f6
174.242.142.3,Male,18-24,#76b46a,#2c5dc9,#8d1c1c,#e425b8,#e77e94,#8a5656,#f6f3f3,none
72.213.236.91,Female,18-24,#720d29,#3c82d3,#c27d2e,#67c32c,#f7f7f7,#631485,#f5fa70,#67e4b5
98.118.45.55,Male,18-24,#eb0000,#004ef0,#00db1b,#fff80a,#f00000,#ff0505,#0553ff,#000000
174.242.74.229,Male,18-24,#2c7ae8,#ee2b2b,#6bae56,#dfe47c,#ed5e93,#54b92d,#969292,#ffffff
66.189.57.50,Male,18-24,#39ff2e,#ff2932,#225e24,#ffce24,#ff474e,none,none,none
73.17.221.7,Female,18-24,none,#000000,#258e25,#f8eb3a,#f04c4c,#a29090,#fbf9f9,#f7eef5
68.191.250.185,Female,18-24,#8ce3d3,#ec8e8e,#9395eb,#eef28d,#85cc7f,#000000,#39b125,#d8b246
174.192.12.221,Male,18-24,#e20306,#2729e7,#17e82f,#e9d625,#ed6e6e,#c97108,#96d5f8,none
24.91.156.152,Nonbinary,18-24,#eaa039,#5fc2ec,#ea5248,#207e2c,#eb5c9d,#e1be99,none,#eff9fa
47.14.124.119,Female,18-24,#ffffff,#495aee,#d00b0b,#fbef56,#fd2626,#d0c8c8,#f674da,#f6ea55
71.233.133.194,Female,45-54,#ffffff,#f8fd4e,#2813f1,#feff1f,#ff3029,#c39f41,none,#c6e3e7
108.20.153.72,Male,25-34,#0519f5,#6ca843,#f88416,#ffe014,#f60704,none,none,none
98.229.11.79,Nonbinary,18-24,#fb6809,#4c63f0,#f62323,#fcee3b,#f91f37,#5d903c,#150af5,#bb1711
173.76.240.203,Female,18-24,#84dbf6,#1fe04e,#f2a554,#fff91f,#e72323,#2242ec,#f47c80,#7a8179
